id,requirements,phase,scenario,exercise,expected,scope,status,evidence
A15,C13; C15,P1,Undo and durable revision history,"Edit text/timing/speakers, undo/redo, branch a reprocessing revision, close/reopen and restore an earlier revision.",History and current text remain consistent; restoration is explicit and recoverable; UI and persistence do not maintain contradictory undo stacks.,Domain/storage/editor,NOT RUN — proposed application acceptance test,
A16,C13; C26,P5,Portable project round-trip,Export a live project's consistent snapshot with media; import on another supported OS offline without the original model installed.,"Text, speakers, history, playback and source timing preserved; viewing/editing does not require downloading models; no live-WAL inconsistency.",Cross-OS packaged apps,NOT RUN — proposed application acceptance test,
A17,C13,P5,"Archive, schema and duplicate safety","Import malicious/truncated archives, oversized expansions, unsafe paths, unknown schemas and colliding project IDs.",Validate before commit; no path escape/execution or overwrite; errors preserve original bundle and current project.,Security and migration tests,NOT RUN — proposed application acceptance test,
A18,C15; C08,P4,Whole-transcript reprocessing,Correct a transcript and run another model/settings profile; compare and select versions; undo selection.,Existing corrections remain; new results form a separate candidate; activation is explicit and reversible.,Editor and worker integration,NOT RUN — proposed application acceptance test,
A19,C15; C18,P4,Selected-range stale proposal,Rerun a passage with context; edit the target and neighboring text while processing; apply the returned proposal.,Stale revision detected; neighboring/context-only text unchanged; per-field comparison and one undoable apply transaction.,Domain concurrency and real UI,NOT RUN — proposed application acceptance test,
A20,C18; C06,P4,Early review with late inference,"Begin editing completed chunks, then finish later chunks/global diarization including changed speaker proposals and duplicated worker events.",Inference context remains frozen; no correction overwritten; provisional state and conflict handling remain clear.,Worker/editor integration,NOT RUN — proposed application acceptance test,
A21,C17; C16,P3,Stage-aware progress and ETA,"Run cold/warm CPU/GPU jobs with different models, failures and optional stages; inspect progress while ASR has finished but diarization has not.",Estimating shown before calibration; ETA uses correct profile; 100% only after required finalization; changes and warnings not hidden.,Orchestration and UI,NOT RUN — proposed application acceptance test,
A22,C17; C10,P6,"Tray, close and notification lifecycle",Minimize/restore; close during recording and inference; deny notifications; use a desktop without a functional tray.,App stays reachable; explicit safe-close choices; no hidden recording or unannounced cancellation; generic notification and in-app fallback.,Each advertised desktop environment,NOT RUN — proposed application acceptance test,
A23,C19; C08,P5,Text and document completeness,"Export long Unicode transcripts as TXT, clipboard and each selected document format; read with independent applications.","All text and chosen labels/timecodes match frozen revision; no clipping, broken Unicode, missing pages or image-only DOCX.",Independent readers and structural checks,NOT RUN — proposed application acceptance test,
A24,C19; C20; C07,P5,SRT and cue correctness,"Generate/edit cues with overlap, long speech, short gaps, untimed words, line breaks and boundary rounding; inspect in independent players.",Valid ordered positive-duration cues; explicit overlap policy; no silent dropped/fictionally timed text; presentation policy warnings actionable.,"Cue domain, exporter and playback",NOT RUN — proposed application acceptance test,
A25,C20; C08,P5,Cue overrides and transcript edits,Manually change cues then correct their source transcript and regenerate; explicitly apply a cue correction back to transcript.,Cue overrides do not silently rewrite transcript; stale cues are marked; regeneration offers comparison and preserves user choices.,Cue/editor integration,NOT RUN — proposed application acceptance test,
A26,C19; C15,P5,Export snapshot and destination failure,"Continue editing during export; cancel, fill disk and select an existing output destination.",Output refers to frozen revision; no mutation of text; existing export survives partial failure; replacement requires consent.,Export/storage fault injection,NOT RUN — proposed application acceptance test,
A27,C21; C01,P3,Complete pack lifecycle,"Download, interrupt/resume, corrupt, repair, update and remove packs while a job uses one; inspect acquisition of all ancillary resources.",Partial/corrupt pack never selectable; active revision lease respected; no download during inference or surprise gated dependency.,Model manager and packaged offline run,NOT RUN — proposed application acceptance test,
A28,C21,P3,Local model compatibility and safety,"Import compatible CTranslate2 and alternative-format packs plus misnamed, incompatible and executable/malicious candidates.",Only supported validated formats accepted; GGML is not treated as CTranslate2; no repository code/pickle execution or remote-code trust.,Model importer,NOT RUN — proposed application acceptance test,
A29,C21; C22,P3,Advanced controls actually apply,Set each exposed option in each supported runtime mode; inspect requested/effective snapshots and reject unsupported combinations.,No ignored/dead tuning controls; default changes do not affect running work; plain explanations and reset available.,Adapter contract and settings UI,NOT RUN — proposed application acceptance test,
A30,C22; C23; C24,P0,Actual-stack design and accessibility proof,"Change theme/layout in source using the chosen framework; test long document with keyboard, screen reader, focus/selection and IME.",User can understand/control styling; DryCut-inspired visuals remain readable; screen-reader text editing and normal input work beyond generic control labels.,Framework decision gate,NOT RUN — proposed application acceptance test,
A31,C23; C04,P6,"Themes, motion and scaling","Switch system/light/dark/high contrast, text scaling and reduced motion during playback/editing; test keyboard-only navigation.",No inaccessible colors or lost focus; motion preference respected; no controls clipped at supported layouts.,Packaged UI and assistive technologies,NOT RUN — proposed application acceptance test,
A32,C25; C01,P2,Real video preview synchronization,"Import supported video, hide/resize preview, seek/speed-change, test variable frame rate and nonzero audio offsets.","Video, audio, word highlights and time display share a mapped playback clock; hidden preview does not stop audio or desynchronize.",Real media/codec matrix,NOT RUN — proposed application acceptance test,
A33,C01; C03,P2,Import validation and source sequence,Probe corrupt/no-audio/multitrack media; join sources with differing time bases; seek/export before and after boundaries; reorder after transcription.,Actionable import errors; exact source mappings; sequence revisions invalidate/remap results explicitly; no cumulative subtitle rounding drift.,Media and time-map tests,NOT RUN — proposed application acceptance test,
A34,C01; C21,P6,Privacy and outbound-traffic audit,"Instrument network use during setup, offline/online inference, missing resources, error paths and model changes.",Only explicit permitted acquisition uses network; no audio/text/embedding/telemetry uploads or attempted cloud fallback; UI assets local.,Packaged app and all worker dependencies,NOT RUN — proposed application acceptance test,
A35,C01; C17; C18,P3,Worker failure and checkpoint recovery,"Inject malformed/wrong-run/duplicate protocol output, crash native inference, interrupt/restart and cancel during an uninterruptible call.",Supervisor validates identity/manifests; no duplicate document results; resume from supported checkpoint; disposal waits or safely terminates isolated worker.,"Protocol, supervisor and process integration",NOT RUN — proposed application acceptance test,
A36,C03; C17,P3,Resource contention and local fallback,Transcribe while playing/recording; trigger GPU initialization failure and OOM; accept/reject a proposed lower-resource fallback.,"Recording preserved, UI responsive, changed profile recorded and explained; no cloud fallback or silent model substitution.",Named resource-limited devices,NOT RUN — proposed application acceptance test,
A37,C13; C14,P6,"Retention, upgrade and uninstall ownership","Place unrelated files and manual exports near managed data; clean caches, migrate, uninstall and reinstall.","Projects, linked originals and exports preserved unless explicitly removed; only owned caches swept; migration backup recoverable.",Installer and storage fault tests,NOT RUN — proposed application acceptance test,
A38,C13; C15,P1,Concurrent project writers,Open the same project in two processes and different projects in separate processes; crash the writer and reopen.,One writer per project; read-only/focus route clear; stale ownership proven before recovery; no lost updates or corrupted database.,Multiprocess storage tests,NOT RUN — proposed application acceptance test,
A39,C04; C08; C15,P4,Unicode anchors and honest timing,"Edit combining characters, emoji and accented names; split/merge/insert/delete words and realign a corrected passage.",No UTF-16/code-point mismatch; later audio not shifted by text length; inserted/unspoken material stays unaligned unless explicitly timed.,Property tests and real editor,NOT RUN — proposed application acceptance test,
A40,C01; C10; C19; C26,P6,Complete desktop release workflow,"From a clean install on every advertised desktop target, record/import, transcribe, review, correct, reopen, export and recover an interrupted session.",Full workflow exercised through production controls with real models and files; no platform claimed complete from a mock/development-only run.,Windows/macOS/Linux release matrix,NOT RUN — proposed application acceptance test,
A41,C26; C10; C13,P7,Android portability and lifecycle,"Use real phones for import, mic/permitted app capture, background restrictions, revocation, long inference, virtual keyboard and desktop bundle interchange.",Touch/local workflow works within honest platform restrictions; no universal call-capture or desktop-Python portability claim; resource evidence recorded.,Future Android release gate,NOT RUN — proposed application acceptance test,
A42,C26,P8,Optional iPhone/iPad feasibility,"After explicit approval, test permitted native capture, on-device model runtime, project interchange and text editing on actual devices.",Separate feasibility and release evidence; blocked capabilities disclosed; no implied commitment before approval.,Optional future platform,NOT RUN — proposed application acceptance test,
A43,C22; C21; C26,P6,"Clean build, licensing and distribution","Build exact documented commands from fresh checkout, generate dependency/model notices, install artifacts without developer caches and review signing/publication boundaries.",Reproducible tested build layout; exact model/native/media obligations recorded; no surprise paid dependency/account acceptance or unauthorized publication.,Release engineering,NOT RUN — proposed application acceptance test,
